,Brand_Name,Model_Name,Phone_Colour,Rom,Rating,Rating_Count,Reviews_Count,Price,Pre_price,Battery_Capacity,Display_Size,Processor,Primary_Camera,Rating_Group,Price_Group,Display_Group
0,POCO,POCO C51 ,Royal Blue,64,4.1,51111,2679,6499,9999,5000.0,6.52,HelioG36,8.0,Good,0-20k,Large
1,Infinix,Infinix SMART 7 ,Azure Blue,64,4.3,60734,2956,6999,9999,6000.0,6.6,UnisocSpreadtrumSC9863A1,13.0,Good,0-20k,Very Large
2,POCO,POCO C51 ,Power Black,64,4.1,51111,2679,6499,9999,5000.0,6.52,HelioG36,8.0,Good,0-20k,Large
3,Infinix,Infinix SMART 7 ,Night Black,128,4.3,60734,2956,7599,10999,6000.0,6.6,UnisocSpreadtrumSC9863A1,13.0,Good,0-20k,Very Large
4,Infinix,Infinix SMART 7 ,Emerald Green,128,4.3,60734,2956,7599,10999,6000.0,6.6,UnisocSpreadtrumSC9863A1,13.0,Good,0-20k,Very Large
5,Infinix,Infinix SMART 7 ,Emerald Green,64,4.3,60734,2956,6999,9999,6000.0,6.6,UnisocSpreadtrumSC9863A1,13.0,Good,0-20k,Very Large
6,vivo,vivo T2x 5G ,Aurora Gold,128,4.4,106046,5899,13999,18999,5000.0,6.58,Dimensity6020,50.0,Good,0-20k,Large
7,vivo,vivo T2x 5G ,Marine Blue,128,4.4,106046,5899,13999,18999,5000.0,6.58,Dimensity6020,50.0,Good,0-20k,Large
8,vivo,vivo T2x 5G ,Glimmer Black,128,4.4,106046,5899,13999,18999,5000.0,6.58,Dimensity6020,50.0,Good,0-20k,Large
9,Infinix,Infinix SMART 7 ,Azure Blue,128,4.3,60734,2956,7599,10999,6000.0,6.6,UnisocSpreadtrumSC9863A1,13.0,Good,0-20k,Very Large
10,vivo,vivo T2x 5G ,Glimmer Black,128,4.4,58297,3108,12999,17999,5000.0,6.58,Dimensity6020,50.0,Good,0-20k,Large
11,vivo,vivo T2x 5G ,Aurora Gold,128,4.4,58297,3108,12999,17999,5000.0,6.58,Dimensity6020,50.0,Good,0-20k,Large
12,POCO,POCO C50 ,Royal Blue,32,4.2,52014,2476,5499,8999,3600.0,6.52,MediatekHelioA22,8.0,Good,0-20k,Large
13,Infinix,Infinix SMART 7 ,Night Black,64,4.3,60734,2956,6999,9999,6000.0,6.6,UnisocSpreadtrumSC9863A1,13.0,Good,0-20k,Very Large
14,POCO,POCO C55 ,Power Black,128,4.2,35549,2018,8499,13999,5000.0,6.71,MediatekHelioG85,50.0,Good,0-20k,Very Large
15,POCO,POCO C55 ,Cool Blue,128,4.2,35549,2018,8499,13999,5000.0,6.71,MediatekHelioG85,50.0,Good,0-20k,Very Large
16,MOTOROLA,MOTOROLA e13 ,Aurora Green,64,4.0,43327,3549,7299,10999,5000.0,6.5,UnisocT606,13.0,Good,0-20k,Large
17,MOTOROLA,MOTOROLA e13 ,Cosmic Black,64,4.0,43327,3549,7299,10999,5000.0,6.5,UnisocT606,13.0,Good,0-20k,Large
18,MOTOROLA,MOTOROLA e32 ,Arctic Blue,64,3.9,13859,1121,7999,11999,5000.0,6.5,MediatekHelioG37,50.0,Fair,0-20k,Large
19,MOTOROLA,MOTOROLA e13 ,Creamy White,64,4.0,43327,3549,7299,10999,5000.0,6.5,UnisocT606,13.0,Good,0-20k,Large
20,POCO,POCO C55 ,Cool Blue,64,4.2,47983,2817,7499,11999,5000.0,6.71,MediatekHelioG85,50.0,Good,0-20k,Very Large
21,POCO,POCO C55 ,Forest Green,128,4.2,35549,2018,8499,13999,5000.0,6.71,MediatekHelioG85,50.0,Good,0-20k,Very Large
22,MOTOROLA,MOTOROLA G32 ,Mineral Gray,128,4.1,44305,3823,11999,18999,3600.0,6.5,QualcommSnapdragon680,50.0,Good,0-20k,Large
23,POCO,POCO C55 ,Forest Green,64,4.2,47983,2817,7499,11999,5000.0,6.71,MediatekHelioG85,50.0,Good,0-20k,Very Large
24,Infinix,Infinix HOT 30i ,Marigold,64,4.3,14157,785,8199,9999,5000.0,6.6,G37,50.0,Good,0-20k,Very Large
25,Infinix,Infinix HOT 30i ,Marigold,128,4.3,64871,3791,8999,11999,5000.0,6.6,G37,50.0,Good,0-20k,Very Large
26,SAMSUNG,SAMSUNG Galaxy F04 ,Opal Green,64,4.2,38773,2205,7099,11499,3600.0,6.5,MediatekHelioP35,13.0,Good,0-20k,Large
27,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
28,Infinix,Infinix HOT 30i ,Diamond White,128,4.3,64871,3791,8999,11999,5000.0,6.6,G37,50.0,Good,0-20k,Very Large
29,Infinix,Infinix HOT 30i ,Diamond White,64,4.3,14157,785,8199,9999,5000.0,6.6,G37,50.0,Good,0-20k,Very Large
30,SAMSUNG,SAMSUNG Galaxy F23 5G ,Copper Blush,128,4.3,206030,15708,15999,23999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
31,SAMSUNG,SAMSUNG Galaxy F04 ,Jade Purple,64,4.2,38773,2205,7099,11499,3600.0,6.5,MediatekHelioP35,13.0,Good,0-20k,Large
32,MOTOROLA,MOTOROLA G62 5G ,Frosted Blue,128,4.1,44065,3867,14999,21999,3600.0,6.55,QualcommSnapdragon6955G,50.0,Good,0-20k,Large
33,Infinix,Infinix HOT 30i ,Glacier Blue,64,4.3,14157,785,8199,9999,5000.0,6.6,G37,50.0,Good,0-20k,Very Large
34,MOTOROLA,MOTOROLA g13 ,Lavender Blue,128,4.0,41678,3814,9999,13999,5000.0,6.5,HelioG85,50.0,Good,0-20k,Large
35,REDMI,REDMI 11 Prime ,Peppy Purple,64,4.3,5266,260,8999,14999,5000.0,6.58,HelioG99,50.0,Good,0-20k,Large
36,SAMSUNG,SAMSUNG Galaxy F23 5G ,Forest Green,128,4.3,206030,15708,15999,23999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
37,SAMSUNG,SAMSUNG Galaxy F23 5G ,Aqua Blue,128,4.2,45639,3466,14999,22999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
38,MOTOROLA,MOTOROLA g14 ,Steel Gray,128,4.1,1007,116,9999,12999,5000.0,6.5,T616,50.0,Good,0-20k,Large
39,POCO,POCO C55 ,Power Black,64,4.2,47983,2817,7499,11999,5000.0,6.71,MediatekHelioG85,50.0,Good,0-20k,Very Large
40,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
